,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users,label,joy_scores,sadness_scores,surprise_scores,anger_scores,fear_scores,disgust_scores
0,2022-12-02 15:00:03+00:00,1598693483082141700,"Humanrace AW22 Samba Capsule by @Pharrell available now on https://t.co/L6QW1QPAmM, https://t.co/pioJw4mfXm, and via select retailers.

The collection features two Samba colorways and includes knit jerseys, woven shorts and tracksuits.

https://t.co/Jy8vyof0wK https://t.co/OOPtQ9McRp",adidasoriginals,20,2,89,,,"[User(username='Pharrell', id=338084918, displayname='Pharrell Williams', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",neutral,0.1777663230895996,0.012562183663249016,0.09516647458076477,0.005750920623540878,0.002876386046409607,0.0012131184339523315
1,2022-12-01 15:56:43+00:00,1598345354944339968,"Summer lives in you siempre ☀️​

Bad Bunny's latest Forum features an all-white color paying homage to an endless Summer in the Winter months.​

Available December 10th on the Confirmed app. Sign-up now.

https://t.co/BYHJY19qZN https://t.co/Os6oWmwnpI",adidasoriginals,26,7,163,,,,neutral,0.11493520438671112,0.017213180661201477,0.04943091422319412,0.010395701974630356,0.004157225601375103,0.0026178667321801186
2,2022-11-30 15:00:24+00:00,1597968795645382656,"We're back for a second chapter with @20thcentury. 🏠​
​
The FORUM 84 HOME ALONE II takes inspiration from the scene in the movie where Kevin and the Pigeon Lady first crossed paths, designed after the birds she cares for!​
​
Sign up to cop: https://t.co/6cyMnnQqTV https://t.co/eaIBduAEbm",adidasoriginals,37,9,230,,,"[User(username='20thcentury', id=203162990, displayname='20th Century Studios', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",neutral,0.12820561230182648,0.015774879604578018,0.03178504854440689,0.06362821906805038,0.04610379412770271,0.0017947634914889932
3,2022-11-29 15:00:24+00:00,1597606406878003201,The details tho 👌 #NMD https://t.co/uivkU0EY0a,adidasoriginals,13,3,230,,,,fear,0.0056708212941884995,0.033721305429935455,0.00798464473336935,0.01200611237436533,0.882454514503479,0.0009184780647046864
4,2022-11-29 15:00:21+00:00,1597606397130461185,"adidas Originals x PHILLLLLTY NMD_S1​

Designed by hand and influenced by the upbringing and style of a true New Yorker, the NMD_S1 takes on a new form. Raw. Bolder. Inspired.​

Sign up now: https://t.co/z0095cWSNQ https://t.co/6tiYx1eXkN",adidasoriginals,28,3,218,,,,neutral,0.024737153202295303,0.007579439785331488,0.029520295560359955,0.010384224355220795,0.003294753609225154,0.00352943385951221
5,2022-11-28 17:30:04+00:00,1597281684822507520,"Introducing the @Humanrace AW22 Samba Capsule by @Pharrell: a celebration of the rich history of adidas football and the legacy of the Samba.​

Available now on https://t.co/pioJw44EyM &amp; globally Dec. 2nd on https://t.co/L6QW1R7bek https://t.co/tBFmg77v8h",adidasoriginals,16,3,121,,,"[User(username='humanrace', id=1095436991599075328, displayname='Humanrace', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Pharrell', id=338084918, displayname='Pharrell Williams', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",joy,0.6736879348754883,0.008695397526025772,0.08451788872480392,0.044123101979494095,0.07626403868198395,0.001290873158723116
6,2022-11-24 14:17:24+00:00,1595783646031630340,@Shoegeek23 Nope it can be from any point on the parade route!,adidasoriginals,0,0,0,,,"[User(username='Shoegeek23', id=1584541705, displayname='Richard Lopez', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",neutral,0.013657882809638977,0.035651080310344696,0.44505032896995544,0.011130732484161854,0.009860200807452202,0.0006890315562486649
7,2022-11-23 23:28:06+00:00,1595559847650787328,Your photo must be sent live on location from the the Macy’s Thanksgiving Day Parade® tomorrow to qualify for entry.,adidasoriginals,6,0,35,,,,neutral,0.02527862787246704,0.00959134753793478,0.08023998141288757,0.007799882907420397,0.011125735007226467,0.0015336807118728757
8,2022-11-23 23:00:05+00:00,1595552796459278336,"Head’s up NY! 11/24 keep an eye to the sky at the Macy’s Thanksgiving Day Parade®. We have a special gift for the first 5 people to respond to this tweet with a picture of the Hottest Heart ☀️🌊❤️. 
#MacysParade",adidasoriginals,27,3,231,,,,fear,0.11434732377529144,0.0302308090031147,0.10196284204721451,0.17550426721572876,0.5083043575286865,0.0030270733404904604
9,2022-11-22 09:00:02+00:00,1594979003554795523,"Introducing: adidas Originals x Sporty &amp; Rich.
The premium update to adidas Originals’ most iconic pieces, inspired by the brand’s spirit of wellness and self-care.

Now available on CONFIRMED. https://t.co/0TWWtSO3vT",adidasoriginals,19,4,196,,,,neutral,0.14471440017223358,0.006621979642659426,0.17997625470161438,0.010992147028446198,0.01120513305068016,0.0014034099876880646
